missing_ref,basename,candidates
﻿models/bshields/dshield.mdl,dshield.mdl,
models/bshields/dshield_open.mdl,dshield_open.mdl,
models/bshields/rshield.mdl,rshield.mdl,
models/buildables/teleporter.mdl,teleporter.mdl,0.63:3788788899/models/shaky/goc_teleporter.mdl | 0.63:3074044716/models/shaky/goc_teleporter.mdl
models/cpthazama/scp/427.mdl,427.mdl,0.54:3788788899/models/cultist/scp_items/427/scp_427.mdl | 0.54:3074044716/models/cultist/scp_items/427/scp_427.mdl
models/cultist/heads/female/head_1.mdl,head_1.mdl,0.68:3788788899/models/cultist/heads/male/male_head_1.mdl | 0.68:3074041351/models/cultist/heads/male/male_head_1.mdl | 0.65:3788788899/models/cultist/heads/female/female_head_1.mdl
models/cultist/heads/female/shaky/head_1.mdl,head_1.mdl,0.68:3788788899/models/cultist/heads/male/male_head_1.mdl | 0.68:3074041351/models/cultist/heads/male/male_head_1.mdl | 0.65:3788788899/models/cultist/heads/female/female_head_1.mdl
models/cultist/heads/male/head_main_1.mdl,head_main_1.mdl,0.76:3788795433/models/cultist/humans/security/heads/head_main.mdl | 0.76:3788795433/models/cultist/humans/obr/heads/head_main.mdl | 0.76:3788795433/models/cultist/humans/ntf/heads/head_main.mdl
models/cultist/heads/male/head_main_1_4.mdl,head_main_1_4.mdl,0.63:3788795433/models/cultist/humans/security/heads/head_main.mdl | 0.63:3788795433/models/cultist/humans/obr/heads/head_main.mdl | 0.63:3788795433/models/cultist/humans/ntf/heads/head_main.mdl
models/cultist/humans/a9/a9.mdl,a9.mdl,
models/cultist/humans/a9/a9_hood.mdl,a9_hood.mdl,
models/cultist/humans/a9/a9_modern.mdl,a9_modern.mdl,0.60:3171580533/models/weapons/cw_cultist/aks74_modern/w_aks74_modern.mdl | 0.60:3171580533/models/weapons/cw_cultist/aks74_modern/v_aks74_modern.mdl
models/cultist/humans/a9/head_gear/a9_helmet.mdl,a9_helmet.mdl,0.62:3788795433/models/cultist/humans/security/head_gear/helmet.mdl | 0.62:3788795433/models/cultist/humans/ntf/head_gear/head_helmet.mdl | 0.62:3788795433/models/cultist/humans/fbi/head_gear/helmet.mdl
models/cultist/humans/balaclavas/balaclava_full.mdl,balaclava_full.mdl,1.00:3074041351/models/cultist/humans/balaclavas_new/balaclava_full.mdl | 1.00:3788788899/models/cultist/humans/balaclavas_new/balaclava_full.mdl
models/cultist/humans/goc/goc_female_commander.mdl,goc_female_commander.mdl,
models/cultist/humans/mog/mog_woman.mdl,mog_woman.mdl,0.57:3219744427/models/cultist/humans/fbi/fbi_woman.mdl | 0.55:3788795433/models/cultist/humans/mog/mog_hazmat.mdl | 0.55:3074010797/models/cultist/humans/mog/mog_hazmat.mdl
models/cultist/humans/mog/mog_woman_capt.mdl,mog_woman_capt.mdl,
models/cultist/humans/mog/special_security_woman.mdl,special_security_woman.mdl,0.74:3788795433/models/cultist/humans/mog/special_security.mdl | 0.74:3074010797/models/cultist/humans/mog/special_security.mdl
